die_opening,distance,thickness,mean_springback
30,5.0,2.5,0.6084
30,7.5,0.5,1.3143333333333336
30,7.5,0.5,1.3143333333333336
30,17.5,2.5,1.1126666666666665
30,12.5,2.5,0.8405
30,5.0,2.0,0.4963333333333333
30,5.0,3.0,0.48300000000000004
30,10.0,2.5,0.6895000000000001
30,7.5,0.5,1.3143333333333336
30,10.0,0.5,1.5273333333333332
30,5.0,2.5,0.6084
30,5.0,0.5,1.1675
30,15.0,1.0,1.1573333333333335
30,15.0,2.0,0.8876666666666666
30,2.5,0.5,1.0883333333333334
30,20.0,2.5,1.3065
30,12.5,0.5,1.7403333333333333
30,2.5,3.0,0.465
30,5.0,3.0,0.48300000000000004
30,15.0,2.5,0.9576666666666668
30,15.0,3.0,0.7720000000000001
30,12.5,0.5,1.7403333333333333
30,15.0,2.5,0.9576666666666668
30,17.5,2.5,1.1126666666666665
30,2.5,2.5,0.5982
30,2.5,0.5,1.0883333333333334
30,15.0,2.5,0.9576666666666668
30,12.5,0.5,1.7403333333333333
30,15.0,2.5,0.9576666666666668
30,12.5,2.5,0.8405
30,10.0,1.5,0.7006666666666668
30,5.0,2.5,0.6084
30,15.0,2.5,0.9576666666666668
30,20.0,2.5,1.3065
30,12.5,2.5,0.8405
30,10.0,2.5,0.6895000000000001
30,5.0,0.5,1.1675
30,17.5,2.5,1.1126666666666665
30,2.5,0.5,1.0883333333333334
30,5.0,1.5,0.6476666666666667
30,2.5,0.5,1.0883333333333334
30,5.0,0.5,1.1675
30,10.0,0.5,1.5273333333333332
30,20.0,3.0,1.10025
30,17.5,2.5,1.1126666666666665
30,10.0,0.5,1.5273333333333332
30,7.5,2.5,0.6786666666666666
30,2.5,2.5,0.5982
30,10.0,3.0,0.5976666666666667
30,5.0,2.5,0.6084
30,7.5,2.5,0.6786666666666666
30,17.5,0.5,2.6945
30,20.0,1.0,1.7586666666666666
30,15.0,0.5,2.029
30,5.0,2.5,0.6084
30,5.0,0.5,1.1675
30,10.0,1.5,0.7006666666666668
30,20.0,2.0,1.247
30,10.0,3.0,0.5976666666666667
30,7.5,2.5,0.6786666666666666
30,15.0,0.5,2.029
30,12.5,2.5,0.8405
30,20.0,2.0,1.247
30,7.5,2.5,0.6786666666666666
30,5.0,3.0,0.48300000000000004
30,17.5,0.5,2.6945
30,20.0,2.0,1.247
30,10.0,0.5,1.5273333333333332
30,2.5,1.0,0.63
30,20.0,2.5,1.3065
30,10.0,2.5,0.6895000000000001
30,2.5,0.5,1.0883333333333334
30,20.0,1.0,1.7586666666666666
30,10.0,2.0,0.652
30,10.0,0.5,1.5273333333333332
30,5.0,2.5,0.6084
30,15.0,1.5,1.1096666666666666
30,5.0,3.0,0.48300000000000004
30,20.0,2.0,1.247
30,12.5,0.5,1.7403333333333333
30,10.0,2.0,0.652
30,17.5,2.5,1.1126666666666665
30,5.0,0.5,1.1675
30,20.0,1.0,1.7586666666666666
30,10.0,2.5,0.6895000000000001
30,5.0,1.5,0.6476666666666667
30,12.5,2.5,0.8405
30,12.5,0.5,1.7403333333333333
30,10.0,2.5,0.6895000000000001
30,10.0,2.5,0.6895000000000001
30,5.0,3.0,0.48300000000000004
30,7.5,2.5,0.6786666666666666
30,20.0,2.5,1.3065
30,12.5,2.5,0.8405
30,12.5,2.5,0.8405
30,5.0,3.0,0.48300000000000004
